Height,Weight
167.1,287.0
181.6,346.7
176.3,388.7
173.3,361.5
172.2,366.5
174.5,313.2
177.3,359.4
177.8,346.6
172.5,285.4
169.6,306.5
168.9,323.7
171.8,289.9
173.5,319.1
170.5,311.1
173.4,294.9
180.6,355.6
168.8,328.9
174.4,363.2
180.9,350.3
170.5,315.1
172.3,358.9
175.0,364.6
161.2,248.7
173.8,328.9
171.8,360.3
170.7,329.5
179.9,361.8
171.4,334.1
169.0,275.2
166.2,289.3
176.6,262.4
167.2,306.7
172.3,319.5
179.3,346.0
182.4,355.9
175.8,327.0
169.7,360.2
171.9,307.9
172.2,333.6
162.7,271.0
174.2,315.9
165.6,317.1
176.9,354.8
172.6,348.9
167.6,270.4
174.4,327.1
169.9,370.0
172.0,296.7
177.3,364.8
175.5,342.7
177.6,373.4
171.0,320.9
178.5,318.7
175.5,293.9
166.1,313.7
178.3,375.6
178.8,396.0
169.0,325.3
168.6,303.2
171.5,339.9
168.9,327.0
175.3,349.4
173.5,329.6
170.2,327.2
179.8,343.7
173.3,278.4
175.4,361.9
172.0,337.2
170.7,263.0
171.1,316.8
165.8,328.5
179.9,340.4
177.6,356.6
163.3,261.2
173.3,326.4
168.5,305.6
173.6,352.1
166.3,337.7
177.1,293.7
172.0,311.2
174.3,341.9
169.6,309.6
177.9,394.7
168.3,327.5
175.8,327.9
175.6,354.3
171.1,357.9
178.0,334.2
178.2,307.7
173.3,334.0
173.0,346.8
178.4,359.4
181.6,357.2
175.8,284.8
178.0,339.0
179.2,334.8
168.4,304.9
161.1,312.7
169.6,325.5
175.0,293.3
164.8,259.3
170.4,331.1
173.6,340.8
166.7,250.5
172.1,291.0
172.8,313.7
171.9,312.5
168.4,321.3
176.4,326.2
162.1,323.1
172.0,310.0
177.9,324.1
178.3,334.4
167.5,284.2
177.8,310.0
174.3,326.5
174.8,337.0
177.2,345.6
166.3,294.5
174.8,347.7
167.1,304.5
170.7,276.9
176.3,325.8
175.1,343.6
172.6,271.4
166.7,313.2
168.9,278.2
172.5,303.0
175.0,356.2
178.4,340.3
173.4,336.8
180.9,332.0
175.5,293.5
163.6,314.4
180.6,325.5
173.3,345.4
167.4,296.2
171.3,322.1
187.7,384.5
177.8,331.2
176.6,346.0
165.6,288.0
172.7,318.3
173.6,324.1
165.6,272.2
173.4,295.8
174.2,340.0
163.8,286.7
174.5,332.1
175.0,349.9
176.6,318.5
171.2,351.7
168.8,306.9
167.7,356.0
184.0,347.3
162.9,269.5
180.3,403.7
171.5,276.3
182.9,352.5
165.9,294.4
170.4,371.6
163.6,279.1
176.2,353.2
173.7,304.5
165.9,325.9
170.5,323.2
173.7,292.7
168.4,317.0
170.7,322.5
167.6,282.6
176.4,311.4
172.7,315.5
172.1,316.6
165.8,303.6
187.5,353.8
169.7,266.3
169.9,312.5
167.0,302.0
167.6,308.6
169.1,302.9
170.5,343.0
167.3,295.2
169.6,277.3
174.6,315.5
168.2,358.6
167.5,328.0
174.2,324.8
169.1,307.1
170.1,324.2
172.9,257.7
178.3,368.3
166.4,281.8
171.3,337.5
171.2,371.7
176.9,369.8
167.1,306.9
167.9,294.1
173.3,325.9
172.8,323.8
181.3,324.8
167.0,308.6
168.7,286.3
177.8,342.9
176.5,326.8
174.3,316.0
173.6,355.7
173.7,298.5
174.7,365.4
177.6,358.6
181.8,396.1
173.9,340.4
169.5,330.4
169.4,269.8
172.6,284.6
175.0,345.9
170.9,333.3
176.7,333.6
171.9,303.6
175.4,297.2
172.6,351.9
167.2,278.5
167.1,330.6
180.7,348.3
172.3,288.9
165.3,292.0
177.1,324.4
177.6,309.9
167.9,299.6
174.3,324.4
175.3,299.6
169.7,317.9
172.8,358.4
177.0,369.5
182.4,294.8
184.8,344.8
170.9,337.6
171.2,293.8
174.1,290.4
173.9,378.3
174.0,361.2
161.9,340.6
172.0,360.4
176.5,352.4
169.4,341.5
165.7,297.2
177.5,293.8
177.4,342.4
166.1,306.3
173.5,305.0
167.5,214.3
178.0,352.9
167.8,364.6
173.3,312.8
165.7,293.4
175.7,307.3
171.7,306.4
170.9,315.0
169.8,297.7
172.9,325.0
169.1,296.6
178.2,309.9
172.3,314.9
169.2,276.5
161.8,265.8
172.8,335.9
170.0,323.0
168.3,317.8
179.7,338.6
179.6,310.7
186.1,330.9
162.0,296.5
172.3,319.7
172.2,255.6
170.8,301.0
169.6,348.3
175.3,301.5
174.1,315.4
164.2,317.4
165.5,321.0
169.5,308.7
170.2,338.6
178.5,323.6
171.6,317.7
168.4,261.1
175.0,340.9
166.6,256.5
172.7,370.6
177.6,394.5
178.2,352.3
169.3,295.3
176.3,306.3
169.7,290.6
172.0,338.7
175.6,235.6
171.5,334.7
167.1,300.7
168.3,333.1
171.2,330.7
165.0,328.1
175.9,363.6
175.5,352.4
176.9,332.6
175.5,315.7
172.8,343.8
174.9,315.5
160.5,282.5
166.6,328.7
175.6,324.5
177.3,308.2
171.4,300.3
175.5,313.3
174.1,385.9
173.3,292.9
170.4,310.9
180.9,328.3
175.6,351.2
166.4,365.9
169.1,307.0
172.7,287.8
184.3,379.3
172.7,331.8
169.2,310.9
170.9,340.0
167.5,342.5
169.0,350.1
172.9,286.2
167.2,307.8
175.9,291.9
164.3,280.4
175.8,320.1
170.6,301.5
172.3,303.0
176.0,382.9
172.5,307.6
170.4,300.8
177.8,362.6
177.9,369.9
180.0,323.4
167.8,294.6
165.7,265.3
174.6,351.8
176.6,369.6
178.6,316.0
170.9,315.4
171.7,320.5
172.4,352.6
168.8,308.7
175.1,290.2
173.9,328.7
176.6,349.4
178.4,341.6
172.4,324.4
172.7,293.8
170.5,334.2
173.0,324.1
175.2,319.3
176.1,304.8
178.0,357.8
174.6,347.8
163.0,300.9
167.9,329.1
175.9,386.3
176.9,307.0
173.8,345.7
173.4,330.4
176.2,334.7
173.6,354.0
183.7,427.3
178.7,324.2
167.0,334.8
168.9,312.1
179.9,356.1
171.1,362.4
172.2,349.1
173.1,320.1
174.9,364.7
172.0,311.5
164.2,275.9
167.0,255.7
173.8,295.0
175.0,356.9
173.4,319.3
175.7,341.2
184.4,346.6
167.7,324.8
175.8,312.8
174.9,295.5
168.8,316.4
176.0,319.5
171.7,273.3
176.3,363.3
171.4,301.6
168.8,302.2
174.7,335.0
162.0,303.2
175.4,320.4
168.9,321.6
169.5,288.4
171.9,294.2
169.4,330.9
170.3,318.7
167.4,297.6
177.9,348.8
175.9,379.6
178.0,383.7
164.9,297.2
177.0,351.0
171.6,324.2
162.2,306.7
181.9,366.4
165.1,268.7
164.1,305.2
157.5,277.1
165.8,320.0
172.0,280.0
180.0,341.6
173.2,293.4
171.3,317.8
180.4,295.7
172.3,338.8
170.6,276.2
173.5,341.4
166.1,333.3
174.4,332.3
178.0,322.8
175.6,303.3
170.2,268.1
166.4,341.6
178.3,337.0
171.9,320.2
177.1,320.9
171.7,361.6
179.8,316.5
176.9,310.8
169.5,313.0
171.7,333.8
165.7,315.7
179.6,326.1
181.0,347.6
169.1,299.9
172.8,308.6
173.0,303.0
180.9,321.4
170.0,328.3
180.6,342.3
176.3,371.0
175.7,412.5
174.2,330.7
176.8,335.8
175.4,323.7
173.4,318.4
175.9,342.3
