eng_scores,math_scores
61,34
64,54
58,88
77,81
55,62
85,98
84,80
89,85
80,82
68,70
74,44
47,25
56,87
61,64
67,51
33,7
39,30
98,96
68,85
78,53
56,8
75,86
58,51
73,70
58,42
67,20
52,95
71,78
76,89
93,103
86,114
82,79
67,79
84,71
72,35
77,125
92,124
63,57
54,44
82,74
45,83
70,54
72,84
48,21
65,70
60,53
66,54
49,78
44,58
65,99
60,90
67,60
81,45
112,97
94,88
86,69
37,-13
71,50
46,23
91,91
76,64
66,55
44,55
56,54
66,106
68,71
61,45
81,79
82,103
54,73
104,108
101,128
98,90
67,56
72,52
87,65
97,95
70,73
71,70
79,48
86,87
84,90
78,100
81,89
69,83
73,58
70,84
61,60
91,64
56,70
57,57
62,42
59,66
76,73
88,54
59,60
47,44
76,97
98,102
63,36
76,99
62,87
70,96
67,81
87,114
84,63
74,85
54,56
74,90
71,84
62,49
74,41
44,35
72,89
69,81
88,55
35,72
79,103
80,62
75,75
55,28
97,114
69,53
92,89
70,79
71,90
93,121
62,93
82,109
54,54
38,36
52,74
59,71
65,82
59,97
43,43
62,73
47,40
40,43
40,20
77,99
55,56
75,45
81,106
62,49
63,63
51,101
74,76
93,104
66,35
71,51
61,66
90,111
91,76
95,101
75,73
83,74
91,107
68,58
85,90
79,88
75,75
60,52
65,40
77,70
81,91
85,47
74,101
47,34
73,102
54,63
83,62
47,23
58,60
85,64
77,57
68,82
64,58
76,94
70,37
58,75
68,60
55,60
89,96
52,37
81,86
70,71
62,75
76,59
104,126
89,80
108,110
77,60
77,56
67,77
53,53
62,49
76,80
68,42
86,96
62,61
65,62
54,88
72,54
73,47
73,82
79,69
58,52
62,38
63,69
77,61
108,124
62,56
65,70
68,79
61,77
86,90
58,89
78,85
84,86
55,31
88,118
54,20
66,31
74,72
66,54
70,74
59,49
98,77
57,62
57,50
76,77
68,81
50,75
91,85
62,32
56,49
71,83
72,62
80,74
42,35
72,108
46,38
75,63
71,39
66,58
77,81
60,71
75,76
74,52
63,45
69,62
100,88
66,79
85,88
72,98
85,122
99,121
58,37
81,63
54,29
76,50
96,83
86,111
74,46
93,115
74,71
75,77
47,58
57,94
81,52
52,44
51,24
51,83
74,87
65,77
69,102
81,79
52,78
64,55
82,79
73,81
47,50
65,87
71,99
67,43
47,8
95,83
91,64
81,63
77,87
80,88
82,89
62,87
92,120
93,61
65,52
61,54
94,57
79,74
90,104
68,46
94,105
90,70
85,82
76,89
69,39
56,51
64,46
64,98
62,76
77,91
26,42
55,53
56,46
94,76
50,69
66,47
94,115
57,68
73,65
60,79
84,55
46,45
55,102
89,84
59,71
95,109
40,59
70,97
79,103
87,101
61,35
87,78
78,73
80,83
63,49
84,65
69,76
107,112
75,70
87,86
58,84
78,71
72,48
83,64
49,23
57,53
75,72
37,36
76,63
107,89
76,85
69,103
58,49
42,53
84,82
79,72
66,65
61,42
94,109
65,82
82,91
56,26
77,76
74,74
83,80
86,97
80,69
72,75
81,114
88,68
50,64
77,85
76,39
74,61
41,49
68,91
57,81
88,67
66,73
43,92
78,87
49,39
51,42
76,66
33,41
67,72
75,30
66,61
68,57
37,21
86,89
70,81
68,89
74,60
57,56
72,82
80,77
62,45
90,97
53,85
86,49
77,56
59,61
97,106
103,96
86,64
57,54
68,68
75,57
55,72
61,51
55,53
92,107
67,48
56,51
77,118
82,89
77,113
84,104
48,63
76,78
78,36
72,84
62,91
58,29
91,94
61,78
67,-12
65,81
69,69
92,75
42,55
64,36
79,118
75,119
79,101
72,87
80,79
63,74
42,46
65,87
75,58
79,85
75,72
57,29
63,65
50,61
83,61
83,49
52,35
76,86
60,39
64,82
84,72
72,42
101,124
55,64
68,38
74,66
53,36
81,64
62,96
51,55
86,103
78,74
50,95
76,93
77,57
85,67
69,123
31,17
93,109
39,79
112,109
85,85
59,45
65,47
93,69
49,56
80,60
70,75
47,78
77,68
84,96
79,109
70,77
77,71
68,66
87,90
72,67
82,107
54,58
92,95
64,37
40,26
47,42
90,112
90,86
